msisdn_a,msisdn_b,imei,tower_id,tower_lat,tower_lon,call_type,duration_sec,timestamp
+91-9441234567,+91-9000112233,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,121,2024-01-01 09:01:05
+91-9441234567,+91-9912000111,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,152,2024-01-01 12:28:37
+91-9441234567,+91-7330198765,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,204,2024-01-01 14:06:05
+91-9441234567,+91-9000112233,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,423,2024-01-01 14:38:16
+91-9441234567,+91-9849234567,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,342,2024-01-01 17:12:45
+91-9441234567,+91-7330198765,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,289,2024-01-01 19:47:57
+91-9441234567,+91-9000112233,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,124,2024-01-01 20:17:15
+91-9441234567,+91-8341567890,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,152,2024-01-01 20:27:21
+91-9441234567,+91-9849234567,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,453,2024-01-02 10:54:14
+91-9441234567,+91-9000112233,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,437,2024-01-02 13:29:40
+91-9441234567,+91-9032456789,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,353,2024-01-02 14:22:13
+91-9441234567,+91-9849234567,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,337,2024-01-02 16:24:17
+91-9441234567,+91-8341567890,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,203,2024-01-02 17:07:59
+91-9441234567,+91-8074561234,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,283,2024-01-02 18:40:10
+91-9441234567,+91-9000112233,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,451,2024-01-02 19:39:56
+91-9441234567,+91-9032456789,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,348,2024-01-02 20:04:02
+91-9441234567,+91-9912000111,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,295,2024-01-03 09:44:00
+91-9441234567,+91-9912000111,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,360,2024-01-03 10:14:00
+91-9441234567,+91-9912000111,356812094523001,ONG-CENT-001,15.5057,80.0499,MOC,441,2024-01-03 11:20:00
+91-9441234567,+91-9963456789,490123456789012,ONG-CENT-001,15.5057,80.0499,MOC,127,2024-01-03 18:54:00
+91-9441234567,+91-9912000111,490123456789012,ONG-CENT-001,15.5057,80.0499,MOC,215,2024-01-03 19:07:00
+91-9441234567,+91-9963456789,490123456789012,ONG-CENT-001,15.5057,80.0499,MOC,118,2024-01-03 21:22:00
+91-9441234567,+91-8341567890,490123456789012,ONG-CENT-001,15.5057,80.0499,MOC,171,2024-01-03 23:41:00
+91-9441234567,+91-7330198765,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,68,2024-01-04 06:43:00
+91-9441234567,+91-7330198765,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,258,2024-01-04 08:05:00
+91-9441234567,+91-8341567890,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,315,2024-01-04 08:24:00
+91-9441234567,+91-9000112233,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,402,2024-01-04 08:48:00
+91-9441234567,+91-7330198765,490123456789012,ONG-EAST-002,15.5120,80.0620,SMS-MO,0,2024-01-04 09:09:00
+91-9441234567,+91-9912000111,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,42,2024-01-04 09:15:00
+91-9441234567,+91-7330198765,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,162,2024-01-04 09:55:00
+91-9441234567,+91-7330198765,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,253,2024-01-04 10:08:00
+91-9441234567,+91-9912000111,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,136,2024-01-04 10:16:00
+91-9441234567,+91-9963456789,490123456789012,ONG-EAST-002,15.5120,80.0620,SMS-MO,0,2024-01-04 11:29:00
+91-9441234567,+91-7330198765,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,226,2024-01-04 11:50:00
+91-9441234567,+91-8341567890,490123456789012,ONG-EAST-002,15.5120,80.0620,SMS-MO,0,2024-01-04 12:41:00
+91-9441234567,+91-9849000312,490123456789012,ONG-EAST-002,15.5120,80.0620,SMS-MO,0,2024-01-04 12:45:00
+91-9441234567,+91-9912000111,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,459,2024-01-04 13:03:00
+91-9441234567,+91-9912000111,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,269,2024-01-04 14:32:00
+91-9441234567,+91-9849000312,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,232,2024-01-04 16:07:00
+91-9441234567,+91-9963456789,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,67,2024-01-04 16:31:00
+91-9441234567,+91-9912000111,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,270,2024-01-04 17:14:00
+91-9441234567,+91-9912000111,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,286,2024-01-04 17:48:00
+91-9441234567,+91-9849000312,490123456789012,ONG-EAST-002,15.5120,80.0620,SMS-MO,0,2024-01-04 17:56:00
+91-9441234567,+91-7330198765,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,201,2024-01-04 18:42:00
+91-9441234567,+91-7330198765,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,244,2024-01-04 18:56:00
+91-9441234567,+91-9000112233,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,396,2024-01-04 19:13:00
+91-9441234567,+91-9000112233,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,214,2024-01-04 19:57:00
+91-9441234567,+91-9849000312,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,293,2024-01-04 20:33:00
+91-9441234567,+91-9000112233,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,241,2024-01-04 20:57:00
+91-9441234567,+91-9963456789,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,450,2024-01-04 21:05:00
+91-9441234567,+91-9912000111,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,88,2024-01-04 22:38:00
+91-9441234567,+91-9963456789,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,316,2024-01-04 22:58:00
+91-9441234567,+91-9849000312,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,280,2024-01-04 23:10:00
+91-9441234567,+91-9849000312,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,392,2024-01-04 23:34:00
+91-9441234567,+91-9849000312,490123456789012,ONG-EAST-002,15.5120,80.0620,MOC,403,2024-01-04 23:48:00
+91-9441234567,+91-9912000111,490123456789012,MKP-CENT-006,15.7333,79.2667,MOC,26,2024-01-06 11:57:00
+91-9441234567,+91-9912000111,490123456789012,MKP-CENT-006,15.7333,79.2667,MOC,46,2024-01-06 13:00:00
+91-9441234567,+91-9912000111,490123456789012,MKP-CENT-006,15.7333,79.2667,MOC,311,2024-01-06 15:01:00
+91-9441234567,+91-9912000111,490123456789012,MKP-CENT-006,15.7333,79.2667,MOC,273,2024-01-06 15:04:00
+91-9441234567,+91-9912000111,490123456789012,MKP-CENT-006,15.7333,79.2667,MOC,311,2024-01-06 18:14:00
+91-9441234567,+91-9912000111,490123456789012,MKP-CENT-006,15.7333,79.2667,MOC,127,2024-01-06 20:03:00
+91-9441234567,+91-9963456789,490123456789012,CHR-MAIN-004,15.8167,80.3500,MOC,152,2024-01-07 14:10:00
+91-9441234567,+91-9963456789,490123456789012,CHR-MAIN-004,15.8167,80.3500,MOC,380,2024-01-07 14:10:00
+91-9441234567,+91-9000112233,490123456789012,CHR-MAIN-004,15.8167,80.3500,MOC,119,2024-01-07 15:30:00
+91-9441234567,+91-9000112233,490123456789012,CHR-MAIN-004,15.8167,80.3500,MOC,134,2024-01-07 15:30:00
+91-9441234567,+91-9912000111,490123456789012,ONG-CENT-001,15.5057,80.0499,MOC,59,2024-01-08 23:33:00
+91-9441234567,+91-9912000111,490123456789012,ONG-CENT-001,15.5057,80.0499,MOC,249,2024-01-08 23:43:00
