msisdn_a,msisdn_b,imei,tower_id,tower_lat,tower_lon,call_type,duration_sec,timestamp
+91-9963456789,+91-9032456789,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,186,2024-01-01 09:38:27
+91-9963456789,+91-9032456789,352098765432100,CHR-MAIN-004,15.8167,80.3500,SMS-MO,101,2024-01-01 09:56:16
+91-9963456789,+91-9849234567,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,480,2024-01-01 11:12:52
+91-9963456789,+91-9849234567,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,452,2024-01-01 14:21:17
+91-9963456789,+91-9032456789,352098765432100,CHR-MAIN-004,15.8167,80.3500,SMS-MO,207,2024-01-01 17:32:07
+91-9963456789,+91-9032456789,352098765432100,CHR-MAIN-004,15.8167,80.3500,SMS-MO,357,2024-01-01 18:32:25
+91-9963456789,+91-9032456789,352098765432100,CHR-MAIN-004,15.8167,80.3500,MTC,126,2024-01-01 21:50:55
+91-9963456789,+91-8074561234,352098765432100,CHR-MAIN-004,15.8167,80.3500,SMS-MO,10,2024-01-02 08:45:27
+91-9963456789,+91-9032456789,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,204,2024-01-02 11:26:42
+91-9963456789,+91-9849234567,352098765432100,CHR-MAIN-004,15.8167,80.3500,SMS-MO,412,2024-01-02 12:13:27
+91-9963456789,+91-9177234560,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,350,2024-01-02 13:27:04
+91-9963456789,+91-9912000111,352098765432100,CHR-MAIN-004,15.8167,80.3500,SMS-MO,217,2024-01-02 17:36:19
+91-9963456789,+91-9177234560,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,216,2024-01-02 18:26:20
+91-9963456789,+91-9177234560,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,378,2024-01-02 18:54:07
+91-9963456789,+91-8074561234,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,135,2024-01-03 10:01:02
+91-9963456789,+91-9912000111,352098765432100,CHR-MAIN-004,15.8167,80.3500,SMS-MO,334,2024-01-03 12:32:42
+91-9963456789,+91-8074561234,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,85,2024-01-03 15:25:15
+91-9963456789,+91-9177234560,352098765432100,CHR-MAIN-004,15.8167,80.3500,SMS-MO,332,2024-01-03 15:26:56
+91-9963456789,+91-9177234560,352098765432100,CHR-MAIN-004,15.8167,80.3500,MTC,355,2024-01-03 15:28:28
+91-9963456789,+91-9177234560,352098765432100,CHR-MAIN-004,15.8167,80.3500,MTC,386,2024-01-03 20:57:50
+91-9963456789,+91-9032456789,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,354,2024-01-03 21:48:15
+91-9963456789,+91-8074561234,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,254,2024-01-04 07:54:00
+91-9963456789,+91-9441234567,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,394,2024-01-04 07:57:00
+91-9963456789,+91-8074561234,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,179,2024-01-04 09:26:00
+91-9963456789,+91-7330198765,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,420,2024-01-04 10:29:00
+91-9963456789,+91-8074561234,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,122,2024-01-04 10:49:00
+91-9963456789,+91-8074561234,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,365,2024-01-04 11:14:00
+91-9963456789,+91-9441234567,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,119,2024-01-04 11:45:00
+91-9963456789,+91-8074561234,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,240,2024-01-04 12:47:00
+91-9963456789,+91-8074561234,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,35,2024-01-04 12:51:00
+91-9963456789,+91-8074561234,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,49,2024-01-04 14:17:00
+91-9963456789,+91-9441234567,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,444,2024-01-04 14:58:00
+91-9963456789,+91-9441234567,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,136,2024-01-04 15:48:00
+91-9963456789,+91-8074561234,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,330,2024-01-04 15:49:00
+91-9963456789,+91-9441234567,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,149,2024-01-04 16:15:00
+91-9963456789,+91-9912000111,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,80,2024-01-04 17:20:00
+91-9963456789,+91-9441234567,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,473,2024-01-04 20:24:00
+91-9963456789,+91-8074561234,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,469,2024-01-04 20:53:00
+91-9963456789,+91-9912000111,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,115,2024-01-04 21:26:00
+91-9963456789,+91-9441234567,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,427,2024-01-04 21:39:00
+91-9963456789,+91-9849234567,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,396,2024-01-04 21:42:00
+91-9963456789,+91-9441234567,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,190,2024-01-07 14:55:00
+91-9963456789,+91-7032111234,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,446,2024-01-07 15:10:19
+91-9963456789,+91-7032111234,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,285,2024-01-07 15:25:57
+91-9963456789,+91-9849234567,352098765432100,CHR-MAIN-004,15.8167,80.3500,MOC,259,2024-01-07 15:30:47
+91-9963456789,+91-9849234567,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,209,2024-01-08 14:31:01
+91-9963456789,+91-7032111234,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,143,2024-01-08 15:11:03
+91-9963456789,+91-9032456789,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,399,2024-01-08 15:20:21
+91-9963456789,+91-7032111234,352098765432100,VTM-MAIN-014,15.7833,80.3167,SMS-MO,328,2024-01-08 15:58:08
+91-9963456789,+91-8341567890,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,23,2024-01-08 17:36:42
+91-9963456789,+91-7330198765,352098765432100,VTM-MAIN-014,15.7833,80.3167,SMS-MO,68,2024-01-09 10:30:42
+91-9963456789,+91-8341567890,352098765432100,VTM-MAIN-014,15.7833,80.3167,SMS-MO,20,2024-01-09 11:12:53
+91-9963456789,+91-8074561234,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,250,2024-01-09 12:53:05
+91-9963456789,+91-9912000111,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,45,2024-01-09 13:14:41
+91-9963456789,+91-9849234567,352098765432100,VTM-MAIN-014,15.7833,80.3167,MTC,198,2024-01-09 19:16:49
+91-9963456789,+91-9000112233,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,431,2024-01-10 08:54:26
+91-9963456789,+91-9000112233,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,23,2024-01-10 12:06:37
+91-9963456789,+91-9000112233,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,348,2024-01-10 13:34:27
+91-9963456789,+91-7032111234,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,313,2024-01-10 19:12:04
+91-9963456789,+91-9849234567,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,445,2024-01-10 19:49:19
+91-9963456789,+91-7330198765,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,343,2024-01-11 10:46:33
+91-9963456789,+91-8074561234,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,54,2024-01-11 11:53:59
+91-9963456789,+91-9000112233,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,434,2024-01-11 13:40:57
+91-9963456789,+91-9912000111,352098765432100,VTM-MAIN-014,15.7833,80.3167,SMS-MO,384,2024-01-11 15:27:52
+91-9963456789,+91-9177234560,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,322,2024-01-11 20:29:36
+91-9963456789,+91-7032111234,352098765432100,VTM-MAIN-014,15.7833,80.3167,MTC,176,2024-01-12 08:31:54
+91-9963456789,+91-9177234560,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,184,2024-01-12 13:51:16
+91-9963456789,+91-8074561234,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,133,2024-01-12 16:12:05
+91-9963456789,+91-7032111234,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,363,2024-01-12 16:48:15
+91-9963456789,+91-9177234560,352098765432100,VTM-MAIN-014,15.7833,80.3167,MTC,160,2024-01-12 20:01:05
+91-9963456789,+91-9849234567,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,400,2024-01-13 09:47:34
+91-9963456789,+91-7330198765,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,151,2024-01-13 11:47:30
+91-9963456789,+91-9177234560,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,71,2024-01-13 12:16:14
+91-9963456789,+91-7032111234,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,198,2024-01-13 12:42:37
+91-9963456789,+91-9912000111,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,179,2024-01-13 14:47:35
+91-9963456789,+91-8074561234,352098765432100,VTM-MAIN-014,15.7833,80.3167,MTC,367,2024-01-14 08:35:18
+91-9963456789,+91-9177234560,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,250,2024-01-14 08:36:18
+91-9963456789,+91-9912000111,352098765432100,VTM-MAIN-014,15.7833,80.3167,MTC,161,2024-01-14 09:53:12
+91-9963456789,+91-9177234560,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,451,2024-01-14 10:03:16
+91-9963456789,+91-9032456789,352098765432100,VTM-MAIN-014,15.7833,80.3167,MTC,283,2024-01-14 12:00:45
+91-9963456789,+91-8341567890,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,165,2024-01-15 10:51:36
+91-9963456789,+91-9000112233,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,305,2024-01-15 14:31:04
+91-9963456789,+91-9849234567,352098765432100,VTM-MAIN-014,15.7833,80.3167,SMS-MO,162,2024-01-15 15:58:28
+91-9963456789,+91-9849234567,352098765432100,VTM-MAIN-014,15.7833,80.3167,SMS-MO,320,2024-01-15 16:48:26
+91-9963456789,+91-7032111234,352098765432100,VTM-MAIN-014,15.7833,80.3167,MOC,322,2024-01-15 17:39:03
