msisdn_a,msisdn_b,imei,tower_id,tower_lat,tower_lon,call_type,duration_sec,timestamp
+91-9849000312,+91-8341567890,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,240,2024-01-01 10:00:26
+91-9849000312,+91-9177234560,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,157,2024-01-01 12:02:14
+91-9849000312,+91-9000112233,356001122334455,KDK-MAIN-008,15.2167,79.9000,MTC,90,2024-01-01 12:42:05
+91-9849000312,+91-9177234560,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,125,2024-01-02 14:07:34
+91-9849000312,+91-7330198765,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,362,2024-01-02 15:07:29
+91-9849000312,+91-8074561234,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,234,2024-01-02 16:34:31
+91-9849000312,+91-9032456789,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,145,2024-01-02 18:14:59
+91-9849000312,+91-8341567890,356001122334455,KDK-MAIN-008,15.2167,79.9000,MTC,40,2024-01-02 21:09:04
+91-9849000312,+91-9912000111,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,263,2024-01-03 13:26:44
+91-9849000312,+91-8074561234,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,139,2024-01-03 15:05:20
+91-9849000312,+91-9032456789,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,180,2024-01-03 15:22:26
+91-9849000312,+91-9441234567,356001122334455,KDK-MAIN-008,15.2167,79.9000,MTC,397,2024-01-03 17:02:48
+91-9849000312,+91-9912000111,356001122334455,KDK-MAIN-008,15.2167,79.9000,SMS-MO,304,2024-01-03 18:53:55
+91-9849000312,+91-9441234567,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,138,2024-01-03 19:20:38
+91-9849000312,+91-9032456789,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,309,2024-01-03 22:17:11
+91-9849000312,+91-9032456789,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,77,2024-01-04 11:17:35
+91-9849000312,+91-9441234567,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,397,2024-01-04 16:23:39
+91-9849000312,+91-8074561234,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,246,2024-01-04 18:55:34
+91-9849000312,+91-9032456789,356001122334455,KDK-MAIN-008,15.2167,79.9000,MTC,419,2024-01-05 08:40:38
+91-9849000312,+91-9000112233,356001122334455,KDK-MAIN-008,15.2167,79.9000,MTC,436,2024-01-05 15:07:41
+91-9849000312,+91-9032456789,356001122334455,KDK-MAIN-008,15.2167,79.9000,MTC,206,2024-01-05 15:35:09
+91-9849000312,+91-8341567890,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,218,2024-01-05 16:00:35
+91-9849000312,+91-9032456789,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,222,2024-01-05 16:45:17
+91-9849000312,+91-9177234560,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,405,2024-01-05 21:04:17
+91-9849000312,+91-8074561234,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,371,2024-01-06 13:47:30
+91-9849000312,+91-9849234567,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,203,2024-01-06 16:48:34
+91-9849000312,+91-9849234567,356001122334455,KDK-MAIN-008,15.2167,79.9000,MTC,206,2024-01-06 19:15:36
+91-9849000312,+91-7032111234,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,381,2024-01-06 21:00:18
+91-9849000312,+91-9177234560,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,285,2024-01-06 21:09:28
+91-9849000312,+91-8341567890,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,312,2024-01-07 08:08:32
+91-9849000312,+91-9912000111,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,243,2024-01-07 09:33:58
+91-9849000312,+91-9849234567,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,464,2024-01-07 13:40:45
+91-9849000312,+91-7032111234,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,333,2024-01-07 17:04:15
+91-9849000312,+91-7330198765,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,342,2024-01-07 17:44:25
+91-9849000312,+91-8341567890,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,48,2024-01-07 21:41:09
+91-9849000312,+91-8341567890,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,455,2024-01-08 10:05:39
+91-9849000312,+91-9912000111,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,472,2024-01-08 10:44:19
+91-9849000312,+91-8074561234,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,299,2024-01-08 11:33:26
+91-9849000312,+91-9000112233,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,334,2024-01-08 14:06:48
+91-9849000312,+91-9441234567,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,193,2024-01-08 20:03:18
+91-9849000312,+91-7330198765,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,212,2024-01-09 08:53:42
+91-9849000312,+91-7330198765,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,310,2024-01-09 09:28:22
+91-9849000312,+91-9032456789,356001122334455,KDK-MAIN-008,15.2167,79.9000,SMS-MO,193,2024-01-09 11:24:36
+91-9849000312,+91-7330198765,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,470,2024-01-09 12:42:00
+91-9849000312,+91-8074561234,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,111,2024-01-09 15:54:19
+91-9849000312,+91-9000112233,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,128,2024-01-09 22:37:09
+91-9849000312,+91-9441234567,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,264,2024-01-09 22:38:47
+91-9849000312,+91-9177234560,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,327,2024-01-10 11:40:12
+91-9849000312,+91-9032456789,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,77,2024-01-10 17:23:46
+91-9849000312,+91-7330198765,356001122334455,KDK-MAIN-008,15.2167,79.9000,MTC,112,2024-01-10 19:26:11
+91-9849000312,+91-8341567890,356001122334455,KDK-MAIN-008,15.2167,79.9000,MOC,30,2024-01-10 22:40:41
