msisdn,dest_ip,dest_port,data_volume_kb,timestamp
+91-9441234567,142.250.182.46,443,6793.0,2024-01-01 06:11:55
+91-9441234567,157.240.241.54,443,4459.0,2024-01-01 08:47:33
+91-9441234567,149.154.167.91,443,1943.0,2024-01-01 09:22:54
+91-9441234567,142.250.182.46,443,6001.0,2024-01-01 10:35:03
+91-9441234567,157.240.241.54,443,7934.0,2024-01-01 14:01:11
+91-9441234567,142.250.76.46,443,3031.0,2024-01-01 15:22:06
+91-9441234567,142.250.182.46,443,6827.0,2024-01-01 15:46:20
+91-9441234567,157.240.241.174,443,8227.0,2024-01-01 17:55:42
+91-9441234567,157.240.241.174,443,3684.0,2024-01-01 19:46:06
+91-9441234567,149.154.167.91,443,7019.0,2024-01-01 19:54:35
+91-9441234567,149.154.167.91,443,1187.0,2024-01-01 21:04:05
+91-9441234567,157.240.241.54,443,2945.0,2024-01-02 06:13:19
+91-9441234567,149.154.167.91,443,6579.0,2024-01-02 07:43:05
+91-9441234567,142.250.182.46,443,2570.0,2024-01-02 09:00:31
+91-9441234567,52.220.105.26,443,2231.0,2024-01-02 19:17:13
+91-9441234567,142.250.76.46,443,2149.0,2024-01-02 21:33:42
+91-9441234567,149.154.167.91,443,4802.0,2024-01-02 22:35:53
+91-9441234567,157.240.241.54,443,5688.0,2024-01-03 07:23:53
+91-9441234567,142.250.182.46,443,4317.0,2024-01-03 08:27:54
+91-9441234567,157.240.241.54,443,7380.0,2024-01-03 11:49:40
+91-9441234567,149.154.167.91,443,2075.0,2024-01-03 13:06:09
+91-9441234567,142.250.76.46,443,1896.0,2024-01-03 14:37:03
+91-9441234567,157.240.241.174,443,2322.0,2024-01-03 15:07:25
+91-9441234567,52.220.105.26,443,4161.0,2024-01-03 16:55:40
+91-9441234567,157.240.241.54,443,2760.0,2024-01-03 18:55:19
+91-9441234567,157.240.241.54,443,5607.0,2024-01-03 20:58:04
+91-9441234567,157.240.241.54,443,2882.0,2024-01-03 22:40:07
+91-9441234567,149.154.167.91,443,8950.0,2024-01-04 07:28:06
+91-9441234567,157.240.241.174,443,5462.0,2024-01-04 10:38:45
+91-9441234567,142.250.182.46,443,8241.0,2024-01-04 10:42:44
+91-9441234567,157.240.241.54,443,6949.0,2024-01-04 16:04:21
+91-9441234567,149.154.167.91,443,8048.0,2024-01-04 16:05:37
+91-9441234567,149.154.167.91,443,4391.0,2024-01-04 17:23:58
+91-9441234567,157.240.241.54,443,3522.0,2024-01-04 19:32:23
+91-9441234567,157.240.241.54,443,3126.0,2024-01-04 20:58:51
+91-9441234567,142.250.182.46,443,1199.0,2024-01-04 21:12:14
+91-9441234567,157.240.241.54,443,6553.0,2024-01-04 22:41:11
+91-9441234567,157.240.241.54,443,9001.0,2024-01-04 22:49:34
+91-9441234567,157.240.241.174,443,7984.0,2024-01-05 10:10:11
+91-9441234567,157.240.241.174,443,2621.0,2024-01-05 11:52:12
+91-9441234567,52.220.105.26,443,8635.0,2024-01-05 17:35:59
+91-9441234567,149.154.167.91,443,7498.0,2024-01-05 17:43:36
+91-9441234567,149.154.167.91,443,7529.0,2024-01-05 20:02:26
+91-9441234567,142.250.76.46,443,7507.0,2024-01-05 20:14:34
+91-9441234567,142.250.182.46,443,8925.0,2024-01-06 10:08:02
+91-9441234567,149.154.167.91,443,7358.0,2024-01-06 14:28:57
+91-9441234567,149.154.167.91,443,2917.0,2024-01-06 18:05:23
+91-9441234567,149.154.167.91,443,1535.0,2024-01-06 20:56:22
+91-9441234567,149.154.167.91,443,2754.0,2024-01-06 21:28:39
+91-9441234567,52.220.105.26,443,3504.0,2024-01-07 07:18:12
+91-9441234567,52.220.105.26,443,5863.0,2024-01-07 08:07:53
+91-9441234567,149.154.167.91,443,5784.0,2024-01-07 08:33:23
+91-9441234567,157.240.241.174,443,1864.0,2024-01-07 09:49:18
+91-9441234567,142.250.182.46,443,7607.0,2024-01-07 10:02:22
+91-9441234567,149.154.167.91,443,4399.0,2024-01-07 10:18:27
+91-9441234567,149.154.167.91,443,7439.0,2024-01-07 15:22:55
+91-9441234567,157.240.241.54,443,5374.0,2024-01-07 17:27:56
+91-9441234567,157.240.241.54,443,6747.0,2024-01-07 17:50:04
+91-9441234567,157.240.241.54,443,4720.0,2024-01-07 18:55:30
+91-9441234567,52.220.105.26,443,1042.0,2024-01-07 21:40:11
+91-9441234567,142.250.76.46,443,3294.0,2024-01-07 22:25:52
+91-9441234567,157.240.241.54,443,5197.0,2024-01-08 08:42:40
+91-9441234567,157.240.241.54,443,5439.0,2024-01-08 10:54:38
+91-9441234567,52.220.105.26,443,4104.0,2024-01-08 12:07:08
