msisdn,dest_ip,dest_port,data_volume_kb,timestamp
+91-9963456789,157.240.241.54,443,4651.0,2024-01-01 10:29:19
+91-9963456789,142.250.76.46,443,429.0,2024-01-01 11:30:20
+91-9963456789,142.250.76.46,443,1438.0,2024-01-01 16:23:39
+91-9963456789,52.220.105.26,443,799.0,2024-01-01 17:19:37
+91-9963456789,142.250.76.46,443,739.0,2024-01-01 18:04:58
+91-9963456789,157.240.241.174,443,2589.0,2024-01-01 22:48:34
+91-9963456789,52.220.105.26,443,1600.0,2024-01-02 09:34:03
+91-9963456789,52.220.105.26,443,4224.0,2024-01-02 11:49:41
+91-9963456789,157.240.241.174,443,2668.0,2024-01-02 19:16:52
+91-9963456789,52.220.105.26,443,5214.0,2024-01-02 19:24:05
+91-9963456789,157.240.241.54,443,376.0,2024-01-02 19:33:08
+91-9963456789,142.250.182.46,443,5631.0,2024-01-02 21:07:43
+91-9963456789,52.220.105.26,443,5206.0,2024-01-02 21:08:32
+91-9963456789,157.240.241.54,443,4749.0,2024-01-03 12:40:43
+91-9963456789,52.220.105.26,443,1324.0,2024-01-03 13:48:55
+91-9963456789,52.220.105.26,443,2536.0,2024-01-03 14:15:29
+91-9963456789,157.240.241.174,443,4536.0,2024-01-03 17:15:19
+91-9963456789,157.240.241.54,443,1152.0,2024-01-03 20:39:49
+91-9963456789,142.250.76.46,443,1411.0,2024-01-03 21:38:43
+91-9963456789,142.250.182.46,443,4786.0,2024-01-04 11:51:29
+91-9963456789,52.220.105.26,443,3319.0,2024-01-04 13:25:58
+91-9963456789,142.250.182.46,443,3884.0,2024-01-04 15:13:21
+91-9963456789,142.250.182.46,443,1892.0,2024-01-04 17:19:58
+91-9963456789,52.220.105.26,443,4718.0,2024-01-04 18:19:16
+91-9963456789,157.240.241.54,443,756.0,2024-01-04 19:43:38
+91-9963456789,157.240.241.174,443,4714.0,2024-01-04 20:09:19
+91-9963456789,142.250.76.46,443,2155.0,2024-01-05 08:48:00
+91-9963456789,52.220.105.26,443,2716.0,2024-01-05 13:21:14
+91-9963456789,142.250.182.46,443,1541.0,2024-01-05 20:02:36
+91-9963456789,157.240.241.174,443,1156.0,2024-01-05 22:11:58
+91-9963456789,157.240.241.174,443,4397.0,2024-01-05 22:46:41
+91-9963456789,142.250.76.46,443,3281.0,2024-01-06 14:12:39
+91-9963456789,142.250.76.46,443,4161.0,2024-01-06 15:34:18
+91-9963456789,142.250.76.46,443,2683.0,2024-01-06 19:29:36
+91-9963456789,52.220.105.26,443,4485.0,2024-01-06 22:42:31
+91-9963456789,52.220.105.26,443,5488.0,2024-01-07 09:43:59
+91-9963456789,142.250.182.46,443,3529.0,2024-01-07 17:01:13
+91-9963456789,52.220.105.26,443,4612.0,2024-01-07 17:01:40
+91-9963456789,52.220.105.26,443,5362.0,2024-01-07 17:36:54
+91-9963456789,142.250.76.46,443,979.0,2024-01-07 18:03:06
+91-9963456789,52.220.105.26,443,2440.0,2024-01-07 19:05:49
+91-9963456789,157.240.241.54,443,254.0,2024-01-07 19:24:35
+91-9963456789,142.250.182.46,443,3603.0,2024-01-07 19:43:57
+91-9963456789,157.240.241.54,443,5630.0,2024-01-08 09:22:35
+91-9963456789,52.220.105.26,443,1361.0,2024-01-08 11:47:24
+91-9963456789,157.240.241.174,443,3841.0,2024-01-08 15:06:08
+91-9963456789,157.240.241.54,443,5445.0,2024-01-08 20:24:49
+91-9963456789,52.220.105.26,443,4433.0,2024-01-09 09:23:16
+91-9963456789,52.220.105.26,443,2735.0,2024-01-09 11:19:20
+91-9963456789,52.220.105.26,443,1640.0,2024-01-09 11:40:19
+91-9963456789,52.220.105.26,443,787.0,2024-01-09 15:19:17
+91-9963456789,157.240.241.54,443,4093.0,2024-01-09 16:00:25
+91-9963456789,52.220.105.26,443,5339.0,2024-01-09 16:47:44
+91-9963456789,52.220.105.26,443,2333.0,2024-01-09 19:23:07
+91-9963456789,142.250.76.46,443,3322.0,2024-01-09 21:45:13
