Sl_No,A_Party_MSISDN,B_Party_MSISDN,Date,Time,Duration_Sec,Call_Type,IMEI,IMSI,Cell_ID,LAC,Tower_Name,Tower_Latitude,Tower_Longitude,Telecom_Circle,Operator,Roaming_Flag,Remarks
1,+91-9441234567,+91-9000112233,01/01/2024,09:01:05,121,MOC,356812094523001,404100441234567,ONG-CENT-001,4210,Ongole Central,15.5057,80.0499,Andhra Pradesh,BSNL,N,
2,+91-9441234567,+91-9912000111,01/01/2024,12:28:37,152,MOC,356812094523001,404100441234567,ONG-CENT-001,4210,Ongole Central,15.5057,80.0499,Andhra Pradesh,BSNL,N,
3,+91-9441234567,+91-7330198765,01/01/2024,14:06:05,204,MOC,356812094523001,404100441234567,ONG-CENT-001,4210,Ongole Central,15.5057,80.0499,Andhra Pradesh,BSNL,N,
4,+91-9441234567,+91-9000112233,01/01/2024,14:38:16,423,MOC,356812094523001,404100441234567,ONG-CENT-001,4210,Ongole Central,15.5057,80.0499,Andhra Pradesh,BSNL,N,
5,+91-9441234567,+91-9849234567,01/01/2024,17:12:45,342,MOC,356812094523001,404100441234567,ONG-CENT-001,4210,Ongole Central,15.5057,80.0499,Andhra Pradesh,BSNL,N,
6,+91-9441234567,+91-7330198765,01/01/2024,19:47:57,289,MOC,356812094523001,404100441234567,ONG-CENT-001,4210,Ongole Central,15.5057,80.0499,Andhra Pradesh,BSNL,N,
7,+91-9441234567,+91-9000112233,01/01/2024,20:17:15,124,MOC,356812094523001,404100441234567,ONG-CENT-001,4210,Ongole Central,15.5057,80.0499,Andhra Pradesh,BSNL,N,
8,+91-9441234567,+91-8341567890,01/01/2024,20:27:21,152,MOC,356812094523001,404100441234567,ONG-CENT-001,4210,Ongole Central,15.5057,80.0499,Andhra Pradesh,BSNL,N,
9,+91-9441234567,+91-9849234567,02/01/2024,10:54:14,453,MOC,356812094523001,404100441234567,ONG-CENT-001,4210,Ongole Central,15.5057,80.0499,Andhra Pradesh,BSNL,N,
10,+91-9441234567,+91-9000112233,02/01/2024,13:29:40,437,MOC,356812094523001,404100441234567,ONG-CENT-001,4210,Ongole Central,15.5057,80.0499,Andhra Pradesh,BSNL,N,
11,+91-9441234567,+91-9032456789,02/01/2024,14:22:13,353,MOC,356812094523001,404100441234567,ONG-CENT-001,4210,Ongole Central,15.5057,80.0499,Andhra Pradesh,BSNL,N,
12,+91-9441234567,+91-9849234567,02/01/2024,16:24:17,337,MOC,356812094523001,404100441234567,ONG-CENT-001,4210,Ongole Central,15.5057,80.0499,Andhra Pradesh,BSNL,N,
