Sl_No,A_Party_MSISDN,B_Party_MSISDN,Date,Time,Duration_Sec,Call_Type,IMEI,IMSI,Cell_ID,LAC,Tower_Name,Tower_Latitude,Tower_Longitude,Telecom_Circle,Operator,Roaming_Flag,Remarks
1,+91-9963456789,+91-9032456789,01/01/2024,09:38:27,186,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
2,+91-9963456789,+91-9032456789,01/01/2024,09:56:16,101,SMS-MO,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
3,+91-9963456789,+91-9849234567,01/01/2024,11:12:52,480,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
4,+91-9963456789,+91-9849234567,01/01/2024,14:21:17,452,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
5,+91-9963456789,+91-9032456789,01/01/2024,17:32:07,207,SMS-MO,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
6,+91-9963456789,+91-9032456789,01/01/2024,18:32:25,357,SMS-MO,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
7,+91-9963456789,+91-9032456789,01/01/2024,21:50:55,126,MTC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
8,+91-9963456789,+91-8074561234,02/01/2024,08:45:27,10,SMS-MO,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
9,+91-9963456789,+91-9032456789,02/01/2024,11:26:42,204,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
10,+91-9963456789,+91-9849234567,02/01/2024,12:13:27,412,SMS-MO,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
11,+91-9963456789,+91-9177234560,02/01/2024,13:27:04,350,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
12,+91-9963456789,+91-9912000111,02/01/2024,17:36:19,217,SMS-MO,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
13,+91-9963456789,+91-9177234560,02/01/2024,18:26:20,216,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
14,+91-9963456789,+91-9177234560,02/01/2024,18:54:07,378,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
15,+91-9963456789,+91-8074561234,03/01/2024,10:01:02,135,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
16,+91-9963456789,+91-9912000111,03/01/2024,12:32:42,334,SMS-MO,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
17,+91-9963456789,+91-8074561234,03/01/2024,15:25:15,85,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
18,+91-9963456789,+91-9177234560,03/01/2024,15:26:56,332,SMS-MO,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
19,+91-9963456789,+91-9177234560,03/01/2024,15:28:28,355,MTC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
20,+91-9963456789,+91-9177234560,03/01/2024,20:57:50,386,MTC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
21,+91-9963456789,+91-9032456789,03/01/2024,21:48:15,354,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,
22,+91-9963456789,+91-8074561234,04/01/2024,07:54:00,254,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
23,+91-9963456789,+91-9441234567,04/01/2024,07:57:00,394,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
24,+91-9963456789,+91-8074561234,04/01/2024,09:26:00,179,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
25,+91-9963456789,+91-7330198765,04/01/2024,10:29:00,420,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
26,+91-9963456789,+91-8074561234,04/01/2024,10:49:00,122,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
27,+91-9963456789,+91-8074561234,04/01/2024,11:14:00,365,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
28,+91-9963456789,+91-9441234567,04/01/2024,11:45:00,119,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
29,+91-9963456789,+91-8074561234,04/01/2024,12:47:00,240,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
30,+91-9963456789,+91-8074561234,04/01/2024,12:51:00,35,MOC,352098765432100,404100996345678,CHR-MAIN-004,4220,Chirala Town,15.8167,80.3500,Andhra Pradesh,Airtel,N,BURST_COORD
