Sl_No,A_Party_MSISDN,B_Party_MSISDN,Date,Time,Duration_Sec,Call_Type,IMEI,IMSI,Cell_ID,LAC,Tower_Name,Tower_Latitude,Tower_Longitude,Telecom_Circle,Operator,Roaming_Flag,Remarks
1,+91-9849000312,+91-8341567890,01/01/2024,10:00:26,240,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
2,+91-9849000312,+91-9177234560,01/01/2024,12:02:14,157,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
3,+91-9849000312,+91-9000112233,01/01/2024,12:42:05,90,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
4,+91-9849000312,+91-9177234560,02/01/2024,14:07:34,125,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
5,+91-9849000312,+91-7330198765,02/01/2024,15:07:29,362,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
6,+91-9849000312,+91-8074561234,02/01/2024,16:34:31,234,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
7,+91-9849000312,+91-9032456789,02/01/2024,18:14:59,145,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
8,+91-9849000312,+91-8341567890,02/01/2024,21:09:04,40,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
9,+91-9849000312,+91-9912000111,03/01/2024,13:26:44,263,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
10,+91-9849000312,+91-8074561234,03/01/2024,15:05:20,139,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
11,+91-9849000312,+91-9032456789,03/01/2024,15:22:26,180,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
12,+91-9849000312,+91-9441234567,03/01/2024,17:02:48,397,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
13,+91-9849000312,+91-9912000111,03/01/2024,18:53:55,304,SMS-MO,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
14,+91-9849000312,+91-9441234567,03/01/2024,19:20:38,138,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
15,+91-9849000312,+91-9032456789,03/01/2024,22:17:11,309,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
16,+91-9849000312,+91-9032456789,04/01/2024,11:17:35,77,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
17,+91-9849000312,+91-9441234567,04/01/2024,16:23:39,397,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
18,+91-9849000312,+91-8074561234,04/01/2024,18:55:34,246,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
19,+91-9849000312,+91-9032456789,05/01/2024,08:40:38,419,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
20,+91-9849000312,+91-9000112233,05/01/2024,15:07:41,436,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
21,+91-9849000312,+91-9032456789,05/01/2024,15:35:09,206,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
22,+91-9849000312,+91-8341567890,05/01/2024,16:00:35,218,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
23,+91-9849000312,+91-9032456789,05/01/2024,16:45:17,222,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
24,+91-9849000312,+91-9177234560,05/01/2024,21:04:17,405,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
25,+91-9849000312,+91-8074561234,06/01/2024,13:47:30,371,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
26,+91-9849000312,+91-9849234567,06/01/2024,16:48:34,203,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
27,+91-9849000312,+91-9849234567,06/01/2024,19:15:36,206,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
28,+91-9849000312,+91-7032111234,06/01/2024,21:00:18,381,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
29,+91-9849000312,+91-9177234560,06/01/2024,21:09:28,285,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
30,+91-9849000312,+91-8341567890,07/01/2024,08:08:32,312,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
31,+91-9849000312,+91-9912000111,07/01/2024,09:33:58,243,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
32,+91-9849000312,+91-9849234567,07/01/2024,13:40:45,464,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
33,+91-9849000312,+91-7032111234,07/01/2024,17:04:15,333,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
34,+91-9849000312,+91-7330198765,07/01/2024,17:44:25,342,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
35,+91-9849000312,+91-8341567890,07/01/2024,21:41:09,48,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
36,+91-9849000312,+91-8341567890,08/01/2024,10:05:39,455,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
37,+91-9849000312,+91-9912000111,08/01/2024,10:44:19,472,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
38,+91-9849000312,+91-8074561234,08/01/2024,11:33:26,299,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
39,+91-9849000312,+91-9000112233,08/01/2024,14:06:48,334,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
40,+91-9849000312,+91-9441234567,08/01/2024,20:03:18,193,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
41,+91-9849000312,+91-7330198765,09/01/2024,08:53:42,212,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
42,+91-9849000312,+91-7330198765,09/01/2024,09:28:22,310,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
43,+91-9849000312,+91-9032456789,09/01/2024,11:24:36,193,SMS-MO,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
44,+91-9849000312,+91-7330198765,09/01/2024,12:42:00,470,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
45,+91-9849000312,+91-8074561234,09/01/2024,15:54:19,111,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
46,+91-9849000312,+91-9000112233,09/01/2024,22:37:09,128,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
47,+91-9849000312,+91-9441234567,09/01/2024,22:38:47,264,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
48,+91-9849000312,+91-9177234560,10/01/2024,11:40:12,327,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
49,+91-9849000312,+91-9032456789,10/01/2024,17:23:46,77,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
50,+91-9849000312,+91-7330198765,10/01/2024,19:26:11,112,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
51,+91-9849000312,+91-8341567890,10/01/2024,22:40:41,30,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
52,+91-9849000312,+91-9000112233,11/01/2024,08:39:56,297,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
53,+91-9849000312,+91-8074561234,11/01/2024,12:34:07,242,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
54,+91-9849000312,+91-9177234560,11/01/2024,18:04:40,431,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
55,+91-9849000312,+91-7330198765,11/01/2024,20:07:29,48,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
56,+91-9849000312,+91-9849234567,11/01/2024,21:10:16,477,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
57,+91-9849000312,+91-7330198765,11/01/2024,21:40:23,65,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
58,+91-9849000312,+91-9000112233,11/01/2024,21:51:35,197,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
59,+91-9849000312,+91-9849234567,12/01/2024,08:25:17,107,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
60,+91-9849000312,+91-7330198765,12/01/2024,09:08:02,29,MOC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
61,+91-9849000312,+91-9032456789,12/01/2024,09:15:56,285,MTC,356001122334455,404100984900031,KDK-MAIN-008,4240,Kandukur Town,15.2167,79.9000,Andhra Pradesh,Airtel,N,
