Sl_No,MSISDN,IMSI,Allocated_IP,Start_Date,Start_Time,End_Date,End_Time,Duration_Sec,Upload_KB,Download_KB,Dest_IP,Dest_Port,Protocol,App_Label,Cell_ID,Tower_Latitude,Tower_Longitude,Telecom_Circle,Operator
1,+91-9441234567,404100441234567,10.151.18.37,01/01/2024,06:11:55,01/01/2024,06:22:11,616,1209,5584,142.250.182.46,443,HTTPS,Google,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
2,+91-9441234567,404100441234567,10.158.88.41,01/01/2024,08:47:33,01/01/2024,09:02:44,911,820,3639,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
3,+91-9441234567,404100441234567,10.197.72.147,01/01/2024,09:22:54,01/01/2024,10:01:22,2308,802,1141,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
4,+91-9441234567,404100441234567,10.142.172.32,01/01/2024,10:35:03,01/01/2024,11:15:35,2432,1200,4801,142.250.182.46,443,HTTPS,Google,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
5,+91-9441234567,404100441234567,10.139.236.87,01/01/2024,14:01:11,01/01/2024,14:20:20,1149,1489,6445,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
6,+91-9441234567,404100441234567,10.119.169.124,01/01/2024,15:22:06,01/01/2024,16:02:03,2397,1089,1942,142.250.76.46,443,HTTPS,YouTube,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
7,+91-9441234567,404100441234567,10.176.22.227,01/01/2024,15:46:20,01/01/2024,16:39:51,3211,1978,4849,142.250.182.46,443,HTTPS,Google,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
8,+91-9441234567,404100441234567,10.192.14.248,01/01/2024,17:55:42,01/01/2024,18:47:25,3103,916,7311,157.240.241.174,443,HTTPS,Instagram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
9,+91-9441234567,404100441234567,10.185.66.96,01/01/2024,19:46:06,01/01/2024,20:07:56,1310,924,2760,157.240.241.174,443,HTTPS,Instagram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
10,+91-9441234567,404100441234567,10.178.173.165,01/01/2024,19:54:35,01/01/2024,20:47:28,3173,1726,5293,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
11,+91-9441234567,404100441234567,10.155.25.191,01/01/2024,21:04:05,01/01/2024,22:01:21,3436,224,963,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
12,+91-9441234567,404100441234567,10.197.66.75,02/01/2024,06:13:19,02/01/2024,06:28:14,895,1621,1324,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
13,+91-9441234567,404100441234567,10.154.125.156,02/01/2024,07:43:05,02/01/2024,08:02:09,1144,957,5622,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
14,+91-9441234567,404100441234567,10.116.98.137,02/01/2024,09:00:31,02/01/2024,09:52:00,3089,931,1639,142.250.182.46,443,HTTPS,Google,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
15,+91-9441234567,404100441234567,10.144.111.29,02/01/2024,19:17:13,02/01/2024,20:09:15,3122,1099,1132,52.220.105.26,443,HTTPS,PhonePe,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
16,+91-9441234567,404100441234567,10.150.253.154,02/01/2024,21:33:42,02/01/2024,21:55:15,1293,143,2006,142.250.76.46,443,HTTPS,YouTube,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
17,+91-9441234567,404100441234567,10.109.102.221,02/01/2024,22:35:53,02/01/2024,23:21:59,2766,1701,3101,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
18,+91-9441234567,404100441234567,10.111.158.153,03/01/2024,07:23:53,03/01/2024,07:43:58,1205,207,5481,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
19,+91-9441234567,404100441234567,10.175.103.135,03/01/2024,08:27:54,03/01/2024,08:35:37,463,548,3769,142.250.182.46,443,HTTPS,Google,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
20,+91-9441234567,404100441234567,10.172.195.149,03/01/2024,11:49:40,03/01/2024,12:23:53,2053,1000,6380,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
21,+91-9441234567,404100441234567,10.177.40.195,03/01/2024,13:06:09,03/01/2024,13:24:07,1078,454,1621,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
22,+91-9441234567,404100441234567,10.139.119.116,03/01/2024,14:37:03,03/01/2024,15:01:34,1471,1089,807,142.250.76.46,443,HTTPS,YouTube,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
23,+91-9441234567,404100441234567,10.179.118.213,03/01/2024,15:07:25,03/01/2024,15:09:20,115,715,1607,157.240.241.174,443,HTTPS,Instagram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
24,+91-9441234567,404100441234567,10.108.121.114,03/01/2024,16:55:40,03/01/2024,17:17:44,1324,359,3802,52.220.105.26,443,HTTPS,PhonePe,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
25,+91-9441234567,404100441234567,10.142.200.44,03/01/2024,18:55:19,03/01/2024,19:46:43,3084,745,2015,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
26,+91-9441234567,404100441234567,10.154.147.104,03/01/2024,20:58:04,03/01/2024,21:57:25,3561,691,4916,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
27,+91-9441234567,404100441234567,10.199.90.90,03/01/2024,22:40:07,03/01/2024,23:16:50,2203,1094,1788,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
28,+91-9441234567,404100441234567,10.143.252.183,04/01/2024,07:28:06,04/01/2024,08:23:57,3351,1891,7059,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
29,+91-9441234567,404100441234567,10.148.165.203,04/01/2024,10:38:45,04/01/2024,10:45:02,377,684,4778,157.240.241.174,443,HTTPS,Instagram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
30,+91-9441234567,404100441234567,10.187.234.135,04/01/2024,10:42:44,04/01/2024,11:39:49,3425,1989,6252,142.250.182.46,443,HTTPS,Google,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
31,+91-9441234567,404100441234567,10.149.73.65,04/01/2024,16:04:21,04/01/2024,16:11:18,417,1192,5757,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
32,+91-9441234567,404100441234567,10.144.80.248,04/01/2024,16:05:37,04/01/2024,16:51:25,2748,339,7709,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
33,+91-9441234567,404100441234567,10.199.87.174,04/01/2024,17:23:58,04/01/2024,17:43:46,1188,843,3548,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
34,+91-9441234567,404100441234567,10.123.244.55,04/01/2024,19:32:23,04/01/2024,19:34:07,104,792,2730,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
35,+91-9441234567,404100441234567,10.141.155.122,04/01/2024,20:58:51,04/01/2024,21:38:22,2371,1384,1742,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
36,+91-9441234567,404100441234567,10.137.217.202,04/01/2024,21:12:14,04/01/2024,21:22:07,593,367,832,142.250.182.46,443,HTTPS,Google,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
37,+91-9441234567,404100441234567,10.156.254.113,04/01/2024,22:41:11,04/01/2024,22:44:21,190,557,5996,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
38,+91-9441234567,404100441234567,10.167.10.170,04/01/2024,22:49:34,04/01/2024,23:47:04,3450,1562,7439,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
39,+91-9441234567,404100441234567,10.179.208.232,05/01/2024,10:10:11,05/01/2024,11:07:26,3435,1468,6516,157.240.241.174,443,HTTPS,Instagram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
40,+91-9441234567,404100441234567,10.132.14.165,05/01/2024,11:52:12,05/01/2024,12:47:23,3311,1288,1333,157.240.241.174,443,HTTPS,Instagram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
41,+91-9441234567,404100441234567,10.166.218.32,05/01/2024,17:35:59,05/01/2024,17:43:29,450,1506,7129,52.220.105.26,443,HTTPS,PhonePe,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
42,+91-9441234567,404100441234567,10.136.200.98,05/01/2024,17:43:36,05/01/2024,18:14:10,1834,995,6503,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
43,+91-9441234567,404100441234567,10.130.249.114,05/01/2024,20:02:26,05/01/2024,20:27:48,1522,1435,6094,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
44,+91-9441234567,404100441234567,10.200.121.232,05/01/2024,20:14:34,05/01/2024,20:31:23,1009,683,6824,142.250.76.46,443,HTTPS,YouTube,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
45,+91-9441234567,404100441234567,10.160.179.213,06/01/2024,10:08:02,06/01/2024,10:28:07,1205,1928,6997,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
46,+91-9441234567,404100441234567,10.155.24.243,06/01/2024,14:28:57,06/01/2024,15:04:29,2132,351,7007,149.154.167.91,443,HTTPS/E2E,Telegram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
47,+91-9441234567,404100441234567,10.112.215.183,06/01/2024,18:05:23,06/01/2024,18:21:12,949,107,2810,149.154.167.91,443,HTTPS/E2E,Telegram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
48,+91-9441234567,404100441234567,10.150.129.96,06/01/2024,20:56:22,06/01/2024,20:58:41,139,899,636,149.154.167.91,443,HTTPS/E2E,Telegram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
49,+91-9441234567,404100441234567,10.102.66.56,06/01/2024,21:28:39,06/01/2024,21:29:30,51,1905,849,149.154.167.91,443,HTTPS/E2E,Telegram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
50,+91-9441234567,404100441234567,10.105.81.239,07/01/2024,07:18:12,07/01/2024,07:21:41,209,1670,1834,52.220.105.26,443,HTTPS,PhonePe,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
51,+91-9441234567,404100441234567,10.102.162.132,07/01/2024,08:07:53,07/01/2024,08:42:30,2077,1272,4591,52.220.105.26,443,HTTPS,PhonePe,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
52,+91-9441234567,404100441234567,10.164.202.254,07/01/2024,08:33:23,07/01/2024,08:38:30,307,1127,4657,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
53,+91-9441234567,404100441234567,10.106.62.108,07/01/2024,09:49:18,07/01/2024,10:06:01,1003,666,1198,157.240.241.174,443,HTTPS,Instagram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
54,+91-9441234567,404100441234567,10.182.45.213,07/01/2024,10:02:22,07/01/2024,10:40:08,2266,743,6864,142.250.182.46,443,HTTPS,Google,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
55,+91-9441234567,404100441234567,10.130.147.107,07/01/2024,10:18:27,07/01/2024,10:19:03,36,1309,3090,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
56,+91-9441234567,404100441234567,10.183.85.70,07/01/2024,15:22:55,07/01/2024,16:16:43,3228,147,7292,149.154.167.91,443,HTTPS/E2E,Telegram,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
57,+91-9441234567,404100441234567,10.149.87.250,07/01/2024,17:27:56,07/01/2024,17:55:44,1668,1572,3802,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
58,+91-9441234567,404100441234567,10.184.161.27,07/01/2024,17:50:04,07/01/2024,18:14:06,1442,543,6204,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
59,+91-9441234567,404100441234567,10.147.65.192,07/01/2024,18:55:30,07/01/2024,18:58:58,208,1351,3369,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
60,+91-9441234567,404100441234567,10.191.199.242,07/01/2024,21:40:11,07/01/2024,22:36:04,3353,326,716,52.220.105.26,443,HTTPS,PhonePe,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
61,+91-9441234567,404100441234567,10.104.193.166,07/01/2024,22:25:52,07/01/2024,23:03:26,2254,1019,2275,142.250.76.46,443,HTTPS,YouTube,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
62,+91-9441234567,404100441234567,10.195.174.41,08/01/2024,08:42:40,08/01/2024,09:10:53,1693,794,4403,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
63,+91-9441234567,404100441234567,10.104.33.18,08/01/2024,10:54:38,08/01/2024,11:41:25,2807,1650,3789,157.240.241.54,443,HTTPS/E2E,WhatsApp,ONG-CENT-001,15.5057,80.0499,Andhra Pradesh,BSNL
