Sl_No,MSISDN,IMSI,Allocated_IP,Start_Date,Start_Time,End_Date,End_Time,Duration_Sec,Upload_KB,Download_KB,Dest_IP,Dest_Port,Protocol,App_Label,Cell_ID,Tower_Latitude,Tower_Longitude,Telecom_Circle,Operator
1,+91-9963456789,404100996345678,10.190.198.80,01/01/2024,10:29:19,01/01/2024,10:35:16,357,435,4216,157.240.241.54,443,HTTPS/E2E,WhatsApp,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
2,+91-9963456789,404100996345678,10.133.99.61,01/01/2024,11:30:20,01/01/2024,12:02:46,1946,274,155,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
3,+91-9963456789,404100996345678,10.161.40.117,01/01/2024,16:23:39,01/01/2024,16:31:41,482,244,1194,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
4,+91-9963456789,404100996345678,10.133.168.93,01/01/2024,17:19:37,01/01/2024,17:44:47,1510,606,193,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
5,+91-9963456789,404100996345678,10.170.232.130,01/01/2024,18:04:58,01/01/2024,18:24:43,1185,134,605,142.250.76.46,443,HTTPS,YouTube,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
6,+91-9963456789,404100996345678,10.197.64.175,01/01/2024,22:48:34,01/01/2024,23:16:26,1672,700,1889,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
7,+91-9963456789,404100996345678,10.160.9.74,02/01/2024,09:34:03,02/01/2024,10:06:27,1944,935,665,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
8,+91-9963456789,404100996345678,10.147.229.98,02/01/2024,11:49:41,02/01/2024,12:15:04,1523,681,3543,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
9,+91-9963456789,404100996345678,10.174.19.12,02/01/2024,19:16:52,02/01/2024,19:17:28,36,783,1885,157.240.241.174,443,HTTPS,Instagram,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
10,+91-9963456789,404100996345678,10.117.168.221,02/01/2024,19:24:05,02/01/2024,19:47:53,1428,697,4517,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
11,+91-9963456789,404100996345678,10.196.6.251,02/01/2024,19:33:08,02/01/2024,19:58:28,1520,248,128,157.240.241.54,443,HTTPS/E2E,WhatsApp,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
12,+91-9963456789,404100996345678,10.162.24.231,02/01/2024,21:07:43,02/01/2024,21:15:13,450,754,4877,142.250.182.46,443,HTTPS,Google,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
13,+91-9963456789,404100996345678,10.107.144.119,02/01/2024,21:08:32,02/01/2024,21:23:12,880,487,4719,52.220.105.26,443,HTTPS,PhonePe,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
14,+91-9963456789,404100996345678,10.106.249.89,03/01/2024,12:40:43,03/01/2024,12:55:47,904,589,4160,157.240.241.54,443,HTTPS/E2E,WhatsApp,CHR-MAIN-004,15.8167,80.3500,Andhra Pradesh,BSNL
